CENTER_SD_CD,CENTER_SD_NM,CENTER_SGG_CD,CENTER_SGG_NM,TEST_YEAR,TEST_ALL_CNT,MEMB_CNT,AGE_GBN_CHILDREN_CNT,AGE_GBN_YOUTH_CNT,AGE_GBN_ADULT_CNT,AGE_GBN_CITIZEN_CNT,INPUT_GBN_ADMIN_CNT,INPUT_GBN_INBODY_CNT,TEST_GBN_GENERAL_CNT,TEST_GBN_TRIP_CNT,TEST_SEX_M,TEST_SEX_W,CERT_GBN_GOLD,CERT_GBN_SILVER,CERT_GBN_BRONZE,CERT_GBN_PARTICIPATION,TEST_AGE_YOUNGER10,TEST_AGE_TEENAGERS,TEST_AGE_TWENTIES,TEST_AGE_THIRTIES,TEST_AGE_FORTIES,TEST_AGE_FIFTIES,TEST_AGE_SIXTIES,TEST_AGE_OLDER70
46,전남,46170,나주시,2022,16,16,0,0,15,1,16,0,16,0,14,2,1,2,3,10,0,1,5,1,3,5,0,1
46,전남,46150,순천시,2021,215,203,17,21,170,7,21,194,198,17,120,95,15,35,44,121,0,53,46,27,25,35,26,3
46,전남,46910,신안군,2022,5,5,0,0,5,0,5,0,5,0,5,0,0,0,2,3,0,0,3,0,2,0,0,0
46,전남,46150,순천시,2019,5918,3925,0,456,4206,1256,1455,4463,5286,632,2860,3058,153,619,1600,3546,0,749,1798,504,472,716,907,772
46,전남,46720,곡성군,2022,57,57,0,0,13,44,57,0,57,0,10,47,6,9,15,27,0,3,0,1,4,3,11,35
47,경북,47170,안동시,2022,18,18,0,3,11,4,18,0,18,0,6,12,1,4,5,8,0,3,3,1,0,3,6,2
47,경북,47113,포항시 북구,2022,36,35,0,4,22,10,0,36,36,0,21,15,3,12,8,13,0,7,6,1,3,5,6,8
47,경북,47150,김천시,2021,192,145,0,38,143,11,192,0,156,36,139,53,11,40,33,108,0,55,55,18,16,12,27,9
47,경북,47170,안동시,2021,949,836,0,516,404,29,949,0,525,424,773,176,73,135,197,544,0,637,181,40,23,10,48,10
47,경북,47113,포항시 북구,2013,3626,64,0,0,2323,1303,1797,0,3626,0,1371,2255,77,329,806,2414,0,31,271,313,629,813,707,862
47,경북,47290,경산시,2022,13,13,0,1,12,0,13,0,13,0,9,4,2,1,4,6,0,2,7,3,1,0,0,0
47,경북,47190,구미시,2022,42,42,0,4,37,1,42,0,42,0,19,23,3,7,8,24,0,8,10,4,9,6,4,1
47,경북,47290,경산시,2021,11,9,0,2,7,2,11,0,11,0,11,0,1,3,2,5,0,4,3,1,0,0,1,2
47,경북,47190,구미시,2021,809,710,2,149,619,39,809,0,364,445,527,282,44,146,199,420,0,381,250,54,43,26,40,15
47,경북,47210,영주시,2021,236,222,1,55,163,17,113,0,133,103,144,92,12,32,55,137,0,107,29,23,18,31,18,10
47,경북,47210,영주시,2022,75,71,0,3,71,1,6,0,75,0,32,43,2,15,13,45,0,12,15,18,15,11,3,1
47,경북,47150,김천시,2022,18,16,0,1,12,5,18,0,18,0,14,4,0,2,4,12,0,1,5,0,2,2,6,2
47,경북,47170,안동시,2020,694,578,0,132,449,113,694,0,675,19,487,207,103,138,170,283,0,226,158,59,35,33,125,58
47,경북,47113,포항시 북구,2014,4214,78,0,587,2524,1103,1740,0,2399,1815,1933,2281,99,420,955,2740,0,710,472,333,498,794,718,689
48,경남,48123,창원시 성산구,2021,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
48,경남,48240,사천시,2022,62,57,1,13,35,13,62,0,62,0,52,10,6,24,13,19,0,16,15,8,4,2,7,10
48,경남,48123,창원시 성산구,2022,69,68,0,7,32,30,69,0,69,0,47,22,2,17,27,23,0,8,14,1,5,6,9,26
48,경남,48123,창원시 성산구,2014,4264,144,0,1094,2211,959,1652,0,2537,1727,1461,2803,203,487,791,2783,0,1136,314,378,645,625,492,674
48,경남,48127,창원시 마산회원구,2021,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
48,경남,48123,창원시 성산구,2013,3227,80,0,0,2151,1076,2012,0,3227,0,950,2277,224,503,758,1742,0,39,327,412,668,609,387,785
48,경남,48127,창원시 마산회원구,2022,55,53,14,13,16,12,50,0,40,15,46,9,6,17,8,24,0,32,8,0,2,0,2,11
48,경남,48240,사천시,2021,526,506,51,398,75,2,526,0,97,429,417,109,62,85,102,277,0,469,41,10,1,3,2,0
50,제주,50130,서귀포시,2014,3685,4,0,97,2432,1156,747,0,1430,2255,1472,2213,104,411,868,2302,0,162,357,511,567,715,437,936
50,제주,50110,제주시,2021,37,26,0,1,32,4,37,0,22,15,27,10,3,6,6,22,0,7,5,2,6,1,15,1
60,세종,60730,세종시,2021,589,491,0,29,345,215,589,0,496,93,201,388,49,99,146,295,0,64,85,77,64,54,128,117
60,세종,60730,세종시,2022,65,59,0,3,54,8,65,0,65,0,44,21,5,18,17,25,0,3,17,15,12,6,8,4
