"나이","성별","키_cm","몸무게_kg","체지방율","윗몸일으키기","등급"
1,0,175.4,70.4,17.3,60,4
1,0,170.8,67.2,13.1,58,4
1,1,162.8,54.4,22.2,57,4
2,0,186.4,75.7,18.4,50,4
2,1,173.5,58.7,19.3,42,4
2,0,172.8,76.1,16.8,55,4
1,1,158,51.9,26.3,70,4
1,1,157.7,52.9,26.8,47,4
1,0,182.4,91.3,19.9,51,4
3,1,167,56.4,21.8,37,4
2,0,167,63,9.8,49,4
1,1,163.3,53.4,24.9,43,4
1,1,157.9,47.2,20.9,46,4
1,1,162.7,57.2,26.8,43,4
2,0,168,75.8,26.9,61,4
3,0,164.3,66.82,15.8,41,4
3,1,149.4,55,33.2,30,4
1,0,172.2,69.4,14.1,59,4
1,1,160.1,59.6,28.5,46,4
2,1,162.8,56.9,16.5,67,4
2,0,167.7,77.3,27.8,57,4
2,0,170.3,76.9,20,50,4
3,0,169.8,84.9,23,32,4
1,0,176.7,72.4,8,56,4
2,1,152.4,47.8,20.6483,46,4
3,1,147,52.4,36,17,4
1,1,174.3,57,12.3,68,4
2,0,166.9,68.2,24.4,50,4
1,1,165.6,53.3,21.6,40,4
1,1,157.6,55.3,33.6,36,4
1,0,174.9,70.5,15.1,61,4
1,0,174.6,78.2,20,51,4
1,1,162.4,63.1,31,54,4
1,1,160.5,50.48,26.7,43,4
1,0,176.2,62.86,18.9,59,4
1,1,158.5,48.8,22.5,36,4
2,0,169.4,69.6,17.2,51,4
1,0,170.7,66.4,16.5,55,4
2,0,185.2,81.1,12.7,58,4
1,0,177.6,75.6,21.8,63,4
1,1,163.1,69,30.7,44,4
1,1,164.4,52.6,24.7,51,4
2,0,178.8,74,11.4,47,4
1,1,168.5,59.6,15.7,55,4
1,0,174.3,72.5,7.9,56,4
1,0,164.5,67.8,15.3,53,4
1,1,157.6,54.5,28.5,44,4
1,0,173,78.9,20.1,53,4
2,0,167,60.58,11.5,52,4
1,0,173,67.8,7.9,58,4
1,0,171.7,66,11.6,64,4
3,1,159.2,50.8,27.1,22,4
1,1,169,69.1,30.4,40,4
1,1,166.1,54.8,21.6,49,4
2,1,164.4,56.6,22.2,43,4
1,1,157,52.6,24.4,43,4
2,0,174.9,74.1,20.2,48,4
2,0,159.8,62.2,23.1,56,4
1,0,177.4,79.6,21.8,56,4
3,1,157.1,56.1,31.4,24,4
2,0,171.2,66.6,15.6,54,4
2,0,176.3,79.8,15.4,55,4
1,0,171.4,72.6,17.9,53,4
2,1,164.5,51.84,19.9,41,4
1,0,173.5,75.3,17,54,4
2,0,162.6,73.8,24.7,56,4
1,1,159.6,44.8,22.8,52,4
1,1,157.4,55,23.1,39,4
1,1,159.7,56.8,20.9,56,4
2,1,162.2,60.3,20.2,38,4
2,1,161.8,55.1,17.2,51,4
1,1,168.2,67.24,29.4,45,4
1,1,159.1,55.3,23.2,45,4
1,1,159.5,56,25.9,46,4
3,0,168.8,66.7,19.2,41,4
2,0,171.2,75.6,20.3,60,4
2,0,171.7,71.62,21,47,4
2,1,159.7,60,26.7,37,4
1,0,176.3,73.58,13.9,61,4
1,0,166.2,73.2,15.7,60,4
2,0,175.3,65,8.1,58,4
2,0,169.2,69.2,15.4,47,4
2,1,152.7,47.3,27,37,4
1,1,164.5,50.8,20.9,53,4
1,1,167.2,62.7,23.3,49,4
1,1,177.3,63.3,25.3,36,4
1,1,164,51,20.4,36,4
2,0,173.4,73.5,16.9,50,4
2,0,172.4,69.3,20.1,63,4
1,0,171.4,64.7,12.9,59,4
1,1,159.2,56.7,28,40,4
2,0,174,76.6,25.9,50,4
1,1,151.8,46.9,20.5,50,4
2,0,161.7,59.4,19.4,57,4
1,0,175.6,75.3,11.1,57,4
2,0,167.1,75.28,22.9,62,4
1,0,174.1,65.6,14.1,59,4
1,1,164.6,58.8,30.9,51,4
1,1,160.4,56,25.9,64,4
3,0,169.1,68.7,10.4,52,4
3,1,160.6,52.7,21.5,34,4
1,0,167.8,65.18,19,67,4
1,0,173,66.2,16.7,57,4
1,0,181.5,80.4,14,58,4
2,0,166.7,67.1,20.4,61,4
2,0,189.3,93.2,16.5,51,4
2,0,174.5,76.32,20.1,57,4
3,0,167,61.8,10.2,35,4
2,0,174.1,79,21,51,4
2,1,163.5,60.1,26.8,46,4
2,0,171.7,58.7,16.5,49,4
1,0,164.7,69,14.4,57,4
1,0,166.9,71,18.7,58,4
3,1,167.9,61.8,25.5,30,4
1,0,175.7,76.9,19.7,52,4
1,0,177,74.1,14,59,4
2,0,169.8,58.7,14.8,60,4
1,1,166.1,61.9,19.3,43,4
3,0,172.5,69.8,21.8,42,4
2,1,158.3,53.3,20,48,4
3,0,169.3,76.1,18.4,33,4
2,0,160.2,44.9,14.8,50,4
3,1,153.6,55.1,26.7,28,4
2,1,159.9,47.38,13.5,34,4
2,1,155.6,53.9,27.7,45,4
3,1,155.3,56,22.33,39,4
2,1,161.7,57.6,23.6,56,4
2,1,159.3,52.9,15.4,48,4
2,1,160.4,58.7,30.6,42,4
1,0,177,71.8,14.5,65,4
2,1,164.3,58.2,26.9,36,4
2,0,178.1,88,21.6,54,4
3,0,174.3,72.9,20.5,44,4
2,0,168.8,73.1,14.3,54,4
2,0,169.4,68.8,19.7,51,4
1,0,184.7,38.6,9,56,4
2,0,178.2,82.4,25.7,47,4
1,0,167.1,66.9,21.2,65,4
2,0,170.3,76.7,17,43,4
3,0,172.4,75.5,24.3,38,4
1,0,172.9,70.2,15.2,57,4
1,0,168.5,76.9,18.9,59,4
1,0,173,78,14.4,56,4
2,0,164.7,63.8,23,50,4
1,1,162.5,59.8,31.3,40,4
3,0,167.2,68.6,20.1,39,4
2,0,164,69.1,16.2,50,4
2,1,156.6,58.9,38.1,44,4
1,1,161.9,56.1,20.9,56,4
1,1,162.6,57.54,27.4,49,4
1,1,168.9,57,25.2,39,4
2,0,175.2,80.3,21.6,57,4
3,0,172.3,68.7,15,33,4
1,1,157.3,50.9,21.4,40,4
