mId,mRegion,mName,mTel,mAddress
23,인천,동구(인천)체력인증센터,032-456-2226,인천광역시 동구 염전로 30  (송림동) 송림체육관 1층 인천동구체력인증센터
24,인천,연수체력인증센터,032-820-4889,인천광역시 연수구 함박뫼로 191  (연수동) 가천대학교 체육관 2층 연수체력인증센터
25,광주,서구(광주)체력인증센터,062-350-4566,광주광역시 서구 경열로 33  (농성동) 서구보건소 4층
26,광주,KSPO광주체력인증센터,062-710-7336,광주광역시 서구 금화로 240  (풍암동) 광주월드컵경기장 2층 KSPO광주체력인증센터
27,광주,북구(광주)체력인증센터,062-716-6100,광주광역시 북구 서암대로132번길 11-10  (신안동) 태봉생활체육관 4층 북구체력인증센터
28,광주,동구(광주)체력인증센터,062-230-7419,광주광역시 동구 필문대로 309  (서석동) 조선대학교 체육대학 5층 동구(광주)체력인증센터
29,광주,광산체력인증센터,062-955-9109,광주광역시 광산구 첨단강변로 76  (산월동819-8) 첨단다목적체육센터 (주차장 안내 -> 첨단생활체육공원 주차장 3 )
30,광주,KSPO광주(출장),062-710-7336,광주광역시 서구 금화로 240  (풍암동) 광주월드컵경기장 2층 KSPO광주체력인증센터
31,대전,서구(대전)체력인증센터,042-485-7330,대전광역시 서구 신갈마로230번길 77  (갈마동) 서울올림픽기념 국민생활관 3층 대전체력인증센터
32,울산,남구(울산)체력인증센터,052-259-1471,울산광역시 남구 대학로 93  (무거동) 8호관 216호 '울산남구체력인증센터'
33,경기,수원체력인증센터,031-249-1485,경기도 수원시 영통구 광교산로 154-42  경기대학교 성신관(2강의동) 2003호 수원체력인증센터
34,경기,양평체력인증센터,031-772-9775,경기도 양평군 양서면 북한강로 38  양서에코힐링센터 5층 다목적체육관 내
35,경기,안산체력인증센터,031-436-8052,경기도 안산시 상록구 한양대학로 55  (사동) 한양대학교ERICA 캠퍼스 예체능대학 체육관 1층 107호-2호
36,경기,포천체력인증센터,031-535-0151,경기도 포천시 영중면 양문로 153  (영중체육문화센터 1층)
37,경기,고양체력인증센터,031-930-1165,경기도 고양시 일산서구 중앙로 1601  (대화동) 고양체육관 고양체력인증센터
38,경기,광주체력인증센터,031-799-8830,경기도 광주시 곤지암읍 경충대로 26  동원대학교 효암관 1층 103호 광주체력인증센터
39,경기,시흥체력인증센터,031-498-7338,경기도 시흥시 정왕대로233번길 33  시흥어울림국민체육센터 2층 시흥체력인증센터
40,경기,의정부체력인증센터,031-8282-100,경기도 의정부시 체육로 90  (녹양동) 의정부종합운동장 내 기둥번호 N-51
41,경기,성남체력인증센터,031-739-6717,경기도 성남시 중원구 제일로 60  (성남동) 성남종합스포츠센터 A동 2층 성남체력인증센터
42,경기,오산체력인증센터,031-378-9220,경기도 오산시 경기동로 33  (오산동) 오산스포츠센터 1층
43,경기,부천체력인증센터,070-7707-5306,경기도 부천시 오정구 상오정로 169 (오정동)  오정레포츠센터 지하 1층 부천체력인증센터
44,경기,화성체력인증센터,031-278-7548,경기도 화성시 봉담읍 동화길 18(동화리 406-1)  화성국민체육센터 지하1층 화성체력인증센터
45,강원,태백체력인증센터,033-554-1130,강원도 태백시 태백로 1451 고원체육관2층(태백볼링장 2층)  (문곡동) 태백시 고원 2 체육관 2층 (태백볼링장 2층)
46,강원,삼척체력인증센터,033-570-6857,강원도 삼척시 중앙로 346  (교동) 강원대학교 삼척캠퍼스 학생회관 402호
47,강원,춘천체력인증센터,033-250-6793,"강원도 춘천시 강원대학길 1  (효자동) 강원대학교 백령스포츠센터 B001호, 춘천체력인증센터"
48,강원,강릉체력인증센터,033-649-7718,강원도 강릉시 범일로579번길 24  (내곡동) 가톨릭관동대학교 세바스티아노 스포츠센터 A-103호 A-104호(관동하키센터)
49,강원,원주체력인증센터,033-762-0110,강원도 원주시 남원로 551  (명륜동) 원주국민체육센터 지하1층 원주체력인증센터
50,충북,진천체력인증센터,043-534-5689,충청북도 진천군 초평면 용정길 6  진천체력인증센터 (초평생활체육공원)	
51,충북,보은체력인증센터,043-544-9956,충청북도 보은군 보은읍 군청길 71  결초보은체육관 1층 보은 체력인증센터
52,충북,증평체력인증센터,043-835-4171,충청북도 증평군 증평읍 송산로 18  증평생활체육관 2층
53,충북,충주체력인증센터,043-852-7330,충청북도 충주시 대림로 85  (호암동) 충주종합운동장 GATE 3 충주체력인증센터
54,충북,영동체력인증센터,043-744-0077,충청북도 영동군 영동읍 영동황간로 123  문화체육센터2층 영동체력인증센터
55,충북,청주체력인증센터,043-267-7330,청주시 서원구 사직대로 229 (종합운동장 북3문)  1층 청주체력인증센터
56,충남,KSPO아산체력인증센터,041-547-7336,충청남도 아산시 남부로 370-24  (풍기동) 2층 아산체력인증센터
57,충남,계룡체력인증센터,042-840-6302,충청남도 계룡시 신도안면 암용추로 89  계룡체력인증센터(지하1층)
58,충남,천안체력인증센터,041-622-9350,충청남도 천안시 서북구 번영로 208  (백석동) 천안종합운동장 내 천안체력인증센터(구 역도장
59,전북,정읍체력인증센터,063-531-0602,전라북도 정읍시 상동중앙로 16  (상동) 정읍체력인증센터 3층	
60,전북,익산체력인증센터,063-838-8983,전라북도 익산시 무왕로 1397  (부송동) 익산종합운동장 내 동문 1번 1층	
61,전북,군산체력인증센터,063-454-8761,전라북도 군산시 번영로 281  (사정동) 군산체력인증센터 1층	
62,전북,전주체력인증센터,063-221-7330,전라북도 전주시 완산구 백제대로 310  (중화산동2가) 화산체육관 2층 전주체력인증센터	
63,전북,남원체력인증센터,063-633-7330,전라북도 남원시 충정로 341  (월락동) 춘향골체육관 1층 건물안 뒷편 남원체력인증센터	
64,전남,무안체력인증센터,061-450-2387,전라남도 무안군 청계면 영산로 1666  목포대학교 체육관 1층	
65,전남,영암체력인증센터,061-469-1135,전라남도 영암군 삼호읍 녹색로 1113 학생복지회관 3층  세한대학교 복지회관 3층 영암체력인증센터	
66,전남,신안체력인증센터,061-240-8540,전라남도 신안군 압해읍 복룡로 120  신안군민체육관 1층	
67,전남,나주체력인증센터,061-330-3388,전라남도 나주시 동신대길 113  동신대학교 체육관 2층(202호)	
68,전남,곡성체력인증센터,061-363-4337,전라남도 곡성군 곡성읍 곡성로 855  레저문화센터 2층 곡성체력인증센터	
69,전남,순천체력인증센터,061-749-6448,전라남도 순천시 환선로 133  (석현동) 문화건강센터 수영장 3층	
70,경북,영주체력인증센터,054-637-0100,경상북도 영주시 가흥로 109  (가흥동) 시민체육관 내 철탄체육관 1층 (영주체력인증센터)	
71,경북,경산체력인증센터,053-819-1838,경상북도 경산시 한의대로 1  (유곡동) 기린 체육관 내 2층 경산 체력인증센터	
72,경북,구미체력인증센터,054-479-1369,경상북도 구미시 산동면 강동로 730  13호관 2층 구미체력인증센터	
73,경북,김천체력인증센터,054-433-0020,경상북도 김천시 운동장길 1   (삼락동) 김천종합운동장 1층 (지번 : 경상북도 김천시 삼락동 488-1)	
74,경북,안동체력인증센터,054-854-7338,경상북도 안동시 운동장길 53  안동시민운동장 내10문	
75,경북,포항체력인증센터,054-272-8519,경상북도 포항시 북구 장량로 56  (장성동) 3층 포항시 체력인증센터	
76,경남,창원마산회원체력인증센터,055-230-0155,경상남도 창원시 마산회원구 내서읍 함마대로 2640 (마산대학교)  미래관 7층 국민체력100 창원마산회원체력인증센터	
77,경남,사천체력인증센터,055-835-2066,경상남도 사천시 용현면 대밭담로 27-21  사천국민체육센터 1층 사천체력인증센터	
78,경남,창원체력인증센터,055-712-0781,경상남도 창원시 성산구 원이대로 692  (상남동) 시민생활체육관 3층 창원체력인증센터	
79,제주,제주체력인증센터,064-759-8795,제주특별자치도 제주시 서광로2길 20  (오라일동1177) 제주종합경기장 전천후육상경기장 2층 제주체력인증센터	
80,세종,세종체력인증센터,044-868-8323,세종특별자치시 도움3로 125  (종촌동) 종촌복합커뮤니티센터 지하1층 세종체력인증센터	
