"나이","체지방률","악력","앞으로굽히기","윗몸일으키기","멀리뛰기","등급","bmi"
35,21.8,31.6,26,32,186,"A",18.5
22,28.9,33.4,22.9,42,201,"A",23.4
28,22,27.9,23.4,46,189,"A",19.8
58,30.2,32.3,21.3,20,153,"A",24.3
24,31.4,29.6,25.1,56,168,"A",23.1
21,32.1,29.5,20.7,42,187,"A",23.1
21,27,30.3,20.6,42,191,"A",22.5
25,19.8,30.3,20.1,38,178,"A",19.3
22,20.9,23.2,28.6,46,168,"A",20.4
55,27.5,32.1,19.5,43,154,"A",22.2
26,17.5,30,26.9,43,183,"A",19.6
52,26.2,18.8,19.8,25,122,"A",19.8
38,15.8,25.1,23.4,44,154,"A",19.6
48,23.3,36.1,27.7,29,161,"A",23.2
21,27.8,19.9,21,37,160,"A",19.9
32,22.4,23.1,27.6,42,191,"A",19.7
35,38.8,29.2,21,36,146,"A",26.1
27,26.9,33.9,19.7,55,180,"A",23.9
22,19.2,37.9,24.2,40,190,"A",23.5
41,32.3,26.6,23,38,157,"A",23.5
60,32.1,24.6,22.6,17,110,"A",25.1
27,18,30,25.3,51,181,"A",21.5
58,36,26.4,21.4,22,150,"A",26.5
23,25,30.7,24.4,50,180,"A",22.7
62,24.3,23.1,24.4,19,146,"A",21.1
24,29.9,28.4,25.9,46,187,"A",25.1
22,19.45304,29.7,32.7,37,193,"A",19.9
25,29,29.4,22.7,33,167,"A",20.3
47,29.5,28.9,21.6,44,171,"A",26
26,22.4,26.6,21.6,43,171,"A",20.7
25,24.1,26.2,23,50,178,"A",17.9
51,30.5,22.1,22.9,24,139,"A",19.3
25,33.6,25,20.1,44,177,"A",21.8
29,25,25.3,26.5,43,157,"A",20.4
37,26.5,23.4,23.3,33,146,"A",20
21,24,30.4,30,45,185,"A",22.2
47,30,30,27.5,50,194,"A",21.2
30,13.9,28,21.1,40,185,"A",21
49,22.8,24.1,20,41,155,"A",18.9
25,26,26.6,29.8,34,170,"A",21
22,20.7,31,30.2,37,198,"A",20.5
27,28.9,34.7,22.1,59,165,"A",24.4
46,28,26.6,27.2,32,170,"A",20.1
25,18.2,30.1,30.5,35,190,"A",20.5
26,27.9,31.3,27.2,34,162,"A",21.8
22,19.9,28.9,23.7,60,177,"A",19.7
26,24.7,25.4,27.8,37,169,"A",22.6
22,22.6,32,25.6,57,214,"A",20.4
37,16.1,33,25,36,180,"A",21.6
27,20.3,29.3,26.9,50,185,"A",24
21,24.6,27.2,20.8,56,178,"A",20.5
29,21.3,29.5,23.3,41,162,"A",19.8
26,19.3,24.2,23.8,59,173,"A",21.9
45,27.9,24.3,27,35,135,"A",19.6
59,32.9,27.5,22.6,24,135,"A",23.8
58,23.4,26.3,23.9,28,130,"A",20.8
31,23.3,36.8,29.3,34,200,"A",22.6
61,23.8,33.5,29.5,39,169,"A",20.9
31,20.5,23.4,20.6,32,156,"A",18.7
40,18.9,29,23.4,39,182,"A",18.4
28,30,32.8,27.1,44,188,"A",22.9
21,19.2,29.8,29.1,61,213,"A",22.2
26,33.8,26.6,25.3,45,166,"A",23.4
51,29.3,23.4,22.7,27,144,"A",22.5
43,17.4,28.4,21.5,39,180,"A",19.7
37,22.6,23.9,23.6,31,173,"A",20.2
27,23.2,29.2,20.9,40,167,"A",20.5
32,29.7,27.7,21.7,41,165,"A",25.3
22,24.3,26.8,23.6,53,180,"A",22.3
25,18.1,31.7,20.4,35,152,"A",20.4
29,20.3,31.3,19.4,49,194,"A",20
36,27.6,29.4,19.5,43,183,"A",21.9
23,25.6,28.5,22.1,43,182,"A",21.6
28,19.6,32.3,18.5,39,169,"A",19.6
37,31.4,32.2,25,38,155,"A",26.8
26,31.8,30.3,19.6,43,133,"A",24.6
21,25.8,23.7,20.7,45,194,"A",18
27,30.9,32.8,19.2,35,180,"A",22.5
49,26.7,24.2,20.5,34,151,"A",21.4
26,26.5,19.1,22.2,42,161,"A",21.2
21,22.4,22.9,21.6,48,190,"A",21
38,19.8,23.1,28.1,32,149,"A",18.7
23,25.5,31.6,21.1,43,188,"A",19.8
25,24.4,25.3,21.9,38,161,"A",21.2
23,29.7,27.5,22.4,47,174,"A",21.6
22,21.8,27.5,21.4,62,185,"A",21.4
55,26.3,28.4,23.3,20,149,"A",21
39,23.5,30.7,22.8,35,175,"A",23.2
61,31.5,22.8,31.3,31,154,"A",20
62,34.5,22.8,19.6,21,124,"A",21.2
21,30.5,21.1,28.3,47,152,"A",19.1
21,32,30.7,29.1,40,177,"A",23.5
28,30,33.2,25.9,37,163,"A",23
26,20.9,32.6,20.5,36,155,"A",20.8
21,21.1,29.1,30,42,180,"A",18.3
58,32,22.7,20.4,24,136,"A",24.1
23,18.4,25.7,20.8,36,202,"A",17.3
47,20.8,25.1,23.4,55,166,"A",20.3
23,27.9,31.5,29.5,43,174,"A",24.1
50,25.2,28.7,25.8,32,170,"A",23.3
23,31.9,33.6,28.5,42,180,"A",24.4
22,20.3,26.9,25.6,67,192,"A",20
52,33,27,24.2,25,141,"A",25.3
22,33.1,33.3,27.7,51,176,"A",23.7
61,36.5,21.7,20.8,20,121,"A",22.9
21,21.6,30.6,21,53,182,"A",20
49,27.8,26.5,23.1,28,152,"A",20.1
21,35.2,24.4,25.5,44,155,"A",22.9
59,37.3,26.7,20.5,25,148,"A",25.2
21,21.2,18.5,20.2,38,173,"A",18.8
22,27.6,25.8,24.8,61,212,"A",22.2
21,19.1,37.5,19.7,42,196,"A",18.9
28,34.3,29,22,41,164,"A",24.5
25,23.5,27.9,24,41,163,"A",20.5
42,21.2,21.8,26.2,34,161,"A",20.1
28,31.6,30.4,26.6,33,164,"A",21.4
21,25.7,27.9,28.4,43,196,"A",19.6
21,32.8,30,23.7,41,180,"A",24.2
22,19.2,31.6,30.9,36,170,"A",20.4
24,29.3,32.6,19.8,40,177,"A",21.9
29,23.1,28.4,19.2,43,169,"A",21.2
21,31.2,22.5,23,42,162,"A",21.5
36,25.2,18.1,21.2,31,148,"A",18.8
30,21.9,28.5,23.9,34,162,"A",20.8
33,21.2,25.5,27.6,52,186,"A",18.6
22,23.7,27.9,20,41,195,"A",17.6
24,33.9,22.8,19.9,40,162,"A",21.4
21,24,23.6,26.8,51,160,"A",19.5
21,24,24.3,27.3,49,217,"A",19.8
23,29,29.6,24,46,188,"A",22.8
21,30.1,28.6,30.2,39,183,"A",23.2
52,22,27.2,20.9,32,154,"A",20.9
21,21.8,32.3,24.6,54,197,"A",24.1
25,26.4,33.4,23,45,172,"A",21.2
44,11.2,35.1,21.5,44,175,"A",20
26,20.4,31.3,29.2,50,188,"A",21.9
22,22,21.7,26,44,171,"A",19.8
22,28.3,30.1,26.6,44,198,"A",22.2
46,34.1,27.1,19.8,47,185,"A",26.3
56,28.3,24.8,21.2,29,158,"A",22
60,18.3,23.7,21.8,31,123,"A",20.1
55,32.8,19.8,24.1,34,134,"A",21.6
32,21.8,24.3,30.5,42,202,"A",19.5
27,32.3,21.4,21.3,34,160,"A",24.8
24,31.8,34.2,23.1,47,165,"A",26.4
29,21.3,35.5,32.9,66,207,"A",20.6
30,23.9,27.7,21.2,33,181,"A",19.3
25,26.8,20.6,18.9,38,162,"A",18
28,29.8,32.7,24.8,33,175,"A",23.8
27,24.7,29.1,25,60,202,"A",20.8
22,21.9,31.9,23.3,40,185,"A",20.2
25,27.3,35.4,26.3,43,183,"A",22.1
24,29.9,33,22,49,179,"A",26.1
23,32.8,27.1,20.4,43,162,"A",19.7
21,31.5,26.1,28.5,37,155,"A",23
26,22.2,34.6,22.9,57,186,"A",20.5
37,19.3,30.8,23.8,42,189,"A",19.5
28,26.3,24.1,30.9,70,191,"A",20.8
26,26.8,32.1,19,47,173,"A",21.3
57,21.8,27.9,23.1,37,165,"A",20.2
25,24.9,33.7,21.1,43,169,"A",20
22,20.9,25.7,23.6,46,188,"A",18.9
21,26.8,26.6,34.4,43,188,"A",21.6
64,33.2,23,21,30,101,"A",24.6
28,28.5,28.4,19.9,46,183,"A",23.3
37,16.5,31,31.2,67,203,"A",21.5
30,20.6483,26,27.8,46,167,"A",20.6
64,36,24.1,24.7,17,126,"A",24.2
27,12.3,33.9,30.1,68,201,"A",18.8
24,21.6,25.8,26.5,40,185,"A",19.4
21,33.6,26.3,21.4,36,172,"A",22.3
24,31,31.8,20.7,54,222,"A",23.9
22,26.7,22.8,26,43,188,"A",19.6
21,22.5,29.1,21.7,36,169,"A",19.4
23,30.7,30,25.5,44,178,"A",25.9
27,24.7,28.3,22.3,51,172,"A",19.5
23,15.7,38.2,24.4,55,171,"A",21
22,28.5,23.5,22.5,44,162,"A",21.9
62,27.1,25.6,24.2,22,147,"A",20
28,30.4,35,22.1,40,166,"A",24.2
25,21.6,35.4,32.2,49,210,"A",19.9
43,22.2,30.9,22.8,43,162,"A",20.9
24,24.4,21.9,20.3,43,174,"A",21.3
55,31.4,28.6,19.9,24,129,"A",22.7
31,19.9,24.2,21.2,41,196,"A",19.2
23,22.8,25.3,22.6,52,166,"A",17.6
21,23.1,28.3,22.8,39,167,"A",22.2
28,20.9,25.3,19.1,56,172,"A",22.3
44,20.2,31.5,31.2,38,188,"A",22.9
48,17.2,31.2,23.4,51,181,"A",21
27,29.4,37.5,26,45,173,"A",23.8
25,23.2,27.5,22,45,173,"A",21.8
23,25.9,28.2,32,46,171,"A",22
48,26.7,31.8,20.4,37,188,"A",23.5
32,27,27.2,21.1,37,160,"A",20.3
26,20.9,28.1,31.4,53,170,"A",18.8
24,23.3,30.2,24.1,49,197,"A",22.4
24,25.3,26.8,22.8,36,176,"A",20.1
27,20.4,25.3,19.4,36,163,"A",19
27,28,27.8,24.1,40,181,"A",22.4
23,20.5,22.2,28.9,50,178,"A",20.4
27,30.9,25.1,26.4,51,171,"A",21.7
22,25.9,33.2,24.5,64,195,"A",21.8
51,21.5,29.4,25,34,144,"A",20.4
40,26.8,35.9,21.7,46,168,"A",22.5
55,25.5,32.3,19.6,30,182,"A",21.9
29,19.3,34.2,24.7,43,161,"A",22.4
39,20,38,26,48,173,"A",21.3
62,26.7,17,23.6,28,143,"A",23.4
43,13.5,22.1,24.9,34,159,"A",18.5
30,27.7,31.7,23.7,45,170,"A",22.3
52,22.33,34.6,23.3,39,154,"A",23.2
33,23.6,29.6,19.4,56,173,"A",22
31,15.4,31.3,20.1,48,190,"A",20.8
32,30.6,34.2,21.4,42,158,"A",22.8
49,26.9,30.4,19.2,36,167,"A",21.6
21,31.3,26.5,21.9,40,195,"A",22.6
31,38.1,32.8,20.2,44,162,"A",24
24,20.9,28.8,24.5,56,204,"A",21.4
25,27.4,25.5,25.9,49,153,"A",21.8
21,25.2,27.6,28.7,39,197,"A",20
29,21.4,22.7,21.4,40,185,"A",20.6
29,25.7,27.8,19.1,38,173,"A",21.5
37,25.6,32.3,25.3,59,170,"A",24.1
28,16.8,37.2,20.4,44,189,"A",20.6
42,25.5,31.9,24.2,35,164,"A",20.4
26,29.9,27.2,19.4,34,175,"A",20.2
43,20.5,24.6,20.1,42,190,"A",21.9
25,26.8,27.7,24.8,36,164,"A",20.4
27,26.2,23.1,29.5,48,187,"A",21.1
28,26,26.9,24.5,42,129,"A",20.7
52,23.5,27.5,24.6,37,175,"A",20.8
21,25.3,26.7,25.1,45,187,"A",21
24,18,29.9,25.2,47,173,"A",19.4
21,16.7,23.9,21.2,55,170,"A",17.3
38,27.5,31.9,19.6,46,194,"A",24
40,31,25.8,20.9,35,165,"A",25.1
27,23.4,27,22.9,47,186,"A",20.9
51,34.9,24.8,24,30,150,"A",22.8
25,24.3,28.2,22.7,39,169,"A",20.1
60,38.2,22.4,22.4,25,108,"A",22.7
27,27.9,28.4,26.2,44,170,"A",20.5
36,17,26.2,24.9,39,166,"A",19.1
21,29.9,26.1,24.4,40,150,"A",19.8
47,23.2,29.2,28.8,41,157,"A",21
23,18.1,31.6,27.8,46,179,"A",18.7
62,34.4,27.5,22.6,21,131,"A",23.3
24,26.1,32.1,27.3,44,157,"A",20.8
22,24.9,33.7,19.8,51,179,"A",23.2
53,18.4,24.6,22.4,37,126,"A",19
23,26.1,21.4,22.4,40,165,"A",18.8
22,20.2,24.5,24.2,43,174,"A",18.6
22,23.4,25.3,23.5,39,165,"A",19.1
27,27.3,32.1,24.4,42,188,"A",24.9
23,28.8,22.9,26.2,37,182,"A",22.2
28,27,32.8,19,35,158,"A",19.8
27,31,29.4,19.5,44,165,"A",23.1
21,22.8,28.3,24.8,45,194,"A",20.1
56,23.5,24.2,20.6,21,130,"A",20.2
25,27.4,22,23.5,47,208,"A",18.7
22,26.9,30.3,19.8,58,171,"A",21.5
23,22.4,24.4,25.4,45,168,"A",19
32,19.9,31.2,25.9,34,206,"A",21
27,28.3,33.3,25.5,38,175,"A",24.2
37,26.1,26.4,26.3,40,165,"A",21.7
26,21.9,28.9,18.5,42,151,"A",21.6
23,23.2,32,26,51,205,"A",22.4
25,24,27,21.1,41,171,"A",19.2
57,24,29.7,22.9,34,164,"A",20.9
21,19.4,23,23.1,37,163,"A",18.1
24,23.8,25,19.9,50,176,"A",19.4
25,26.9,27.7,22.6,55,167,"A",22.5
42,29.1,26.2,26.4,30,163,"A",22
23,18.3,27.9,24.3,52,198,"A",22.9
43,26.1,30.7,27,32,160,"A",22
26,22.4,33.7,26.9,40,180,"A",21.2
21,23.6,27.3,20.5,45,181,"A",19.4
29,25.6,26.1,22.8,34,175,"A",23.1
29,24.2,27.1,25,35,221,"A",19.7
28,28,30.6,20.6,39,213,"A",23.4
60,26.8,20.6,27.9,36,150,"A",20.3
54,35,27.3,20.5,27,175,"A",27
61,35.6,21.5,26.6,23,132,"A",23.9
25,27.6,29.3,19.8,44,178,"A",22.4
28,23.4,25.5,19.9,41,176,"A",20.2
47,18.7,32.3,22,43,170,"A",21.6
27,26.1,29.1,28.6,40,187,"A",21.1
42,26.6,32.2,22.1,32,174,"A",23.1
52,15.6,27.1,27.8,50,173,"A",20.7
42,18.1,26.1,19.5,44,181,"A",19.5
21,23.7,24.9,24,43,149,"A",20
25,29.4,33.8,21.5,50,188,"A",25.2
46,27.4,25.6,25,39,165,"A",22.6
26,20.5,28.5,20.3,50,183,"A",21.6
23,19.9,29.6,22,44,176,"A",17.8
22,25.3,25.4,26,43,163,"A",20.5
55,29,28.4,20.3,24,146,"A",23.4
27,16.8,26.5,25.5,41,181,"A",18.6
21,23.4,24.6,24.1,39,176,"A",19.8
62,37.2,26.6,20.8,21,103,"A",27.2
44,26.6,23.6,20.3,37,192,"A",21.9
29,21,34.3,31.3,40,200,"A",18.5
21,36,30.1,20.6,51,169,"A",24.2
49,16.3,27.6,23.7,37,152,"A",20.8
33,30.9,30.5,21.1,31,174,"A",23.8
61,27.8,23.1,21,17,139,"A",21.8
42,23.3,36.4,18.8,31,178,"A",23.8
27,31.5,42.3,26.2,46,180,"A",28.2
27,35.4,32.9,18.9,51,168,"A",27
22,21.1,28.2,21.3,55,188,"A",21.6
47,17.1,25.5,24,35,180,"A",20
21,26.5,35.4,29.9,48,183,"A",22.7
36,23.8,25.1,25.1,38,170,"A",20.9
31,29.3,29.7,18.2,35,181,"A",22.4
23,24.2,29.3,21.7,42,185,"A",20.5
23,31.8,36.3,20.5,49,169,"A",23
52,20.3,30.8,24.2,24,166,"A",23.4
39,28.7,27.9,19.3,32,155,"A",21.2
48,18.6,26.1,24.4,41,178,"A",22
56,24.3,33.2,26.1,26,157,"A",22.1
57,26.7,27.3,20.1,33,156,"A",21.7
42,26.8,27,20.6,35,164,"A",23.9
55,31.8,25.2,23.3,21,143,"A",24
29,21.3,27.6,25.9,61,202,"A",20.3
23,26.2,26.98,22.6,66,191,"A",20.7
24,23,29.6,23.1,57,185,"A",21
23,30,28.9,22.9,48,183,"A",22.7
21,24.8,27.8,25.3,59,193,"A",21.4
21,20.8,25.7,25,44,182,"A",19.3
26,32.3,34.9,25.5,49,182,"A",26.4
29,27.2,28.1,23.1,42,181,"A",23.1
57,15,22.3,20.5,38,153,"A",19.3
26,18.5,24.5,25.4,42,168,"A",18.1
41,27.4,25.7,19.4,31,160,"A",21.9
23,25.7,25.2,24.3,43,168,"A",20.6
29,29.6,35.2,26.8,56,224,"A",24.1
31,30.5,27.1,29.9,42,219,"A",20.2
21,24.9,30.1,21.4,53,211,"A",21.9
37,21.7,22.5,21.5,34,169,"A",18.6
34,17.9,28.8,20.6,32,138,"A",20.5
25,24.6,26.7,22.7,54,175,"A",22.9
21,21.1,21.3,22.7,49,179,"A",18.8
25,15.1,30.9,23.8,46,204,"A",19
22,20.7,26.4,22.6,52,202,"A",20.1
22,23.3,26.2,20.6,46,174,"A",20.3
24,28.8,26,24.1,47,191,"A",22.2
29,23.2,30.1,22.8,43,167,"A",17.9
63,17.5,25.4,28,27,157,"A",19.5
24,23.4,30.8,21.5,49,213,"A",19.9
52,20,24.5,27,29,165,"A",19.8
24,29,42.6,24.5,44,178,"A",25.6
25,27.9,24.3,21.3,60,179,"A",17.4
39,26.4,21.3,25.9,31,171,"A",21.3
62,26.7,29.4,19.8,18,159,"A",20.4
22,23.5,33.5,22,46,188,"A",23.4
61,23,25.8,23,21,123,"A",17.4
21,24.3,28,30.8,47,199,"A",20.3
22,29.5,30.5,21.8,54,177,"A",24.9
31,27.4,28.7,21.1,36,175,"A",20.9
24,19.1,28.5,21.1,46,171,"A",18.3
40,25.8,31,22,33,156,"A",21.2
23,29.3,33.4,20.9,39,175,"A",22.6
30,24.2,27.2,19.1,47,173,"A",20
53,22.7,24.5,20.4,30,155,"A",20.6
59,22.9,32.8,23.7,32,147,"A",21.4
30,35.5,33.7,21.7,36,161,"A",24.5
30,19.9,27.1,29.3,42,183,"A",19.5
35,30.1,27.5,21,44,150,"A",22.3
25,23.9,27,23.9,39,179,"A",21.7
31,25.5,30,31.4,39,177,"A",24.5
25,22.5,28.8,23.8,41,196,"A",21.8
21,29.6,29.7,19.8,51,180,"A",22.2
27,24.4,27.5,22.7,38,191,"A",21.5
23,26.9,31.5,24.4,48,140,"A",20.6
62,34.2,30.5,24.6,20,160,"A",23.5
30,22.9,30.9,18.2,52,190,"A",20.5
24,33.5,25.1,22.2,46,190,"A",23.1
31,26.1,33.2,19.3,56,210,"A",21.4
50,25.1,27,21.7,24,145,"A",20
34,21.8,29.9,28.5,44,195,"A",20.1
25,25.8,22.7,24.4,52,162,"A",18.8
26,25.4,29.4,26.8,44,211,"A",21.5
59,28.34,31.8,19.8,31,137,"A",22.4
31,16.3,28.5,22.5,42,174,"A",21
25,21.9,36.2,18.7,58,195,"A",21.3
24,26.5,32.9,21.5,44,169,"A",20.7
28,29.4,37.2,19.3,43,173,"A",24.6
34,25.7,26.2,21.2,48,178,"A",19.6
22,21.3,35.1,24.7,40,176,"A",19.8
23,26.1,25.4,30.3,47,198,"A",21.6
56,26.3,25.9,23.6,30,162,"A",21.2
30,17.7,24,30,48,184,"A",19.1
21,33.5,27.5,21.3,39,147,"A",24.3
40,21.7,21,20.9,47,161,"A",19.3
31,26.4,27.7,27,36,171,"A",21.1
25,30.8,28.8,28.9,57,177,"A",21
49,33.9,26.2,19.8,39,159,"A",25.8
21,28.9,19.7,19.7,43,164,"A",18.3
48,23.3,27.8,30.1,34,163,"A",21.8
32,18.1,30.3,23.8,37,180,"A",20.2
48,28,30.4,34,34,154,"A",23.7
25,26.2,26.6,28,52,153,"A",19.2
21,29.7,26,24.5,48,185,"A",21.4
51,20.3,33.4,22.8,32,165,"A",19.7
27,20.4,29.9,25.4,44,180,"A",18.7
26,24.2,28.8,28.1,37,203,"A",21.7
22,29.4,26.4,28.5,54,214,"A",23.9
60,28.2,33.1,21,39,127,"A",24.4
28,26.5,32.5,19.5,40,191,"A",20.7
60,23.4,30,20.8,27,150,"A",20.6
27,21.5,26.6,29.6,50,182,"A",21.6
22,25.3,22.2,23.3,41,179,"A",20.1
31,29.3,32.8,24.2,47,180,"A",20.2
60,28.2,22.1,21.2,22,157,"A",19.3
55,31.5,27.6,21.2,35,149,"A",24
53,18.4,25.4,28.5,41,157,"A",20.2
24,15.9,32.6,25.4,60,180,"A",19.9
34,19.9,27.3,25.1,52,180,"A",20.4
21,21.3,24.9,19.8,41,198,"A",21.5
22,23.4,26,24.5,45,169,"A",21.5
42,26.3,35.1,23.5,42,186,"A",21.1
26,16.4,33.4,32.7,62,196,"A",19.6
26,20.6,26.3,21.8,47,173,"A",18.6
29,31,39.7,20.2,58,179,"A",26.5
50,30.3,24.1,26.8,35,150,"A",23.1
21,24.8,33.4,24.4,45,210,"A",22.9
24,20.5,25.4,25.8,48,190,"A",19
51,21.9,29.4,28.1,59,192,"A",21
21,32.5,26.8,25.5,37,152,"A",23.6
56,25.6,25.7,26.3,26,166,"A",21.4
55,35.4,29.7,20.9,25,136,"A",23.3
23,24.6,28.2,21.2,52,192,"A",21.9
30,26.9,23.6,26.7,44,205,"A",17.1
22,30.5,20.8,20.8,43,168,"A",18.3
24,29.2,29.4,21.9,50,174,"A",22.4
41,18,24.8,28.2,40,161,"A",18.9
64,26.4,25.4,21.9,23,142,"A",22.2
34,20.4,31.3,28.2,65,208,"A",19.7
61,22.8,33.4,26.2,37,178,"A",22.8
41,14.2,29.8,30.4,50,194,"A",20.9
56,34.8,27.4,24,23,166,"A",24.1
30,24.2,31.1,24.6,42,177,"A",22.5
40,25.9,26.9,26.3,31,162,"A",20.7
24,26.7,28.4,21.8,48,206,"A",21.4
21,33.6,29.3,33.2,39,187,"A",22.9
40,16.7,30,22.8,53,181,"A",19.5
21,25,28.7,27.5,43,181,"A",22.6
23,26.5,31.1,23.5,69,176,"A",20.6
61,27.8,22.3,20.3,26,132,"A",22.8
24,28.3,27.4,21.7,36,182,"A",21.9
24,27.6,29.4,21,41,157,"A",21.8
32,19.3,32.1,22.4,35,195,"A",18.7
28,23.6,31.1,23.3,60,195,"A",21
22,25.1,25.5,31.7,55,201,"A",23.1
64,32.3,21.8,22.9,36,137,"A",22.7
22,27.6,27.3,24.6,43,175,"A",20.1
26,25.8,25.9,21.5,36,162,"A",21.7
40,23.9,24.7,22.4,39,174,"A",21
40,22.1,28.8,25.7,41,217,"A",20.6
